file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/javadoc/MarkdownPositions.java,com.google.googlejavaformat.java.javadoc.MarkdownPositions,class,15,18,3,15,4,1,0,11,0,0.6818182,0.0,0.0,4,1,1,1,0,2,3,0,0,0,11,10,0,9,0,2,11,0,1,54,3,0,0,0,0,8,0,13,0,13,0,0,1,0,85,16,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,class,7,9,2,7,38,1,0,42,1,0.60714287,0.0,0.0,7,1,1,5,0,1,2,0,0,0,4,1,0,4,0,0,4,0,6,137,13,9,1,0,1,14,15,31,5,26,3,0,0,1,59,16,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,com.google.googlejavaformat.java.DiagnosticTest,class,8,8,0,8,10,1,0,16,13,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,1,1,0,0,0,0,13,119,0,0,0,0,0,26,8,64,0,64,0,0,0,0,65,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/GoogleJavaFormatToolProvider.java,com.google.googlejavaformat.java.GoogleJavaFormatToolProvider,class,2,2,0,2,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,0,1,0,1,1,0,0,0,1,0,0,0,23,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/CloseOp.java,com.google.googlejavaformat.CloseOp,enum,3,6,3,3,3,1,0,3,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/filer/FormattingFiler.java,com.google.googlejavaformat.java.filer.FormattingFiler,class,4,6,2,4,8,1,0,9,0,0.5238095,0.0,0.0,7,1,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,0,31,6,0,0,0,0,1,0,4,0,4,1,0,0,0,56,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/TypeNameClassifier.java,com.google.googlejavaformat.java.TypeNameClassifier$TyParseState$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/test/java/com/google/googlejavaformat/java/TypeNameClassifierTest.java,com.google.googlejavaformat.java.TypeNameClassifierTest,class,6,7,1,6,4,1,0,9,6,0.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,38,1,0,0,0,0,27,11,0,0,0,0,0,0,0,16,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/GoogleJavaFormatTool.java,com.google.googlejavaformat.java.GoogleJavaFormatTool,class,2,2,0,2,4,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,20,4,0,0,1,0,1,1,2,0,2,1,0,0,0,32,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/DocBuilder.java,com.google.googlejavaformat.DocBuilder,class,6,15,9,6,9,1,0,9,0,0.5416667,0.0,0.0,8,0,4,0,0,4,8,0,0,0,3,0,0,3,0,0,2,0,2,35,3,1,0,0,0,3,0,6,0,5,1,0,0,0,112,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/SnippetFormatter.java,com.google.googlejavaformat.java.SnippetFormatter,class,10,14,4,10,22,1,0,32,26,0.8333333,0.0,0.0,8,4,3,5,0,0,3,0,0,0,3,2,0,3,0,0,3,0,3,89,7,3,8,0,3,6,16,17,14,13,2,0,2,1,94,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaFormatterOptions.java,com.google.googlejavaformat.java.Style,enum,5,8,3,5,6,1,0,6,4,0.5,0.0,0.0,5,2,3,0,0,2,6,0,0,0,1,0,0,1,0,0,1,0,1,27,4,0,0,0,0,0,2,1,0,1,0,0,1,0,31,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/idea_plugin/src/main/java/com/google/googlejavaformat/intellij/JreConfigurationChecker.java,com.google.googlejavaformat.intellij.JreConfigurationChecker,class,5,9,4,5,10,1,0,16,9,0.72222215,0.0,0.0,6,4,1,4,0,1,2,0,0,0,3,2,0,3,0,0,3,0,3,47,6,1,0,1,0,11,0,6,0,6,2,1,0,0,57,0,1
